base_field,importance_mean_sum,importance_mean_max,features_count
Account Shipping Country,0.0872165110256618,0.05888723220591703,13
StartDate - Day,0.032221611865337896,0.032221611865337896,1
StartDateTime - Year,0.021753119359648476,0.021753119359648476,1
EndDateTime - Year,0.015663501530251957,0.015663501530251957,1
EndDate - Day,0.008396766852389614,0.008396766852389614,1
StartDateTime - Day,0.007894530330377524,0.007894530330377524,1
EndDate - Year,0.005132229459311044,0.005132229459311044,1
EndDateTime - Day,-0.00048654163069914433,-0.00048654163069914433,1
Opportunity Close Date - Day,-0.0011614219571528972,-0.0011614219571528972,1
StartDate - Year,-0.001349760652907417,-0.001349760652907417,1
Opportunity Created Date - Year,-0.0018519971749195285,-0.0018519971749195285,1
Opportunity Close Date - Year,-0.005399042611629867,-0.005399042611629867,1
Opportunity Created Date - Day,-0.0058541944597033215,-0.0058541944597033215,1
