segment_field,segment_value,n,win_rate,avg_p_win,precision,recall,f1
Opportunity Record Type,Renewal Order Finalized,19651,0.9955727443895985,0.9955318905594509,1.0,1.0,1.0
Opportunity Record Type,Renewal Order,384,0.9869791666666666,0.9862941642188364,1.0,1.0,1.0
Opportunity Record Type,Renewal,829,0.971049457177322,0.9753300861560729,0.9950556242274413,1.0,0.9975216852540273
Opportunity Record Type,Sales Order Finalized,10227,0.9584433362667449,0.9605466150131546,0.9851256281407035,1.0,0.992507087889834
Opportunity Record Type,Sales Order,331,0.9395770392749244,0.9518283209711882,0.9424242424242424,1.0,0.9703588143525741
Opportunity Record Type,Sales,8979,0.17797082080409846,0.17834614245474795,0.5114652157015157,0.8235294117647058,0.6310237353152721
Sale Type,Renewal,20676,0.9948249177790676,0.9949554281863345,0.999805570407816,1.0,0.9999027757522726
Sale Type,Upsell,8794,0.8066863770752786,0.7948927594283198,0.9366291532690246,0.9854806879052721,0.9604341255666987
Sale Type,TBD,10,0.7,0.72236925351123,1.0,1.0,1.0
Sale Type,New,5527,0.48398769676135334,0.49723324061572866,0.8540701522170748,0.9648598130841122,0.906090925048271
Sale Type,Cross-Sell,3797,0.46273373716091654,0.47219550813594957,0.8006628787878788,0.9624359704040979,0.8741276815714655
Sale Type,Unknown,65,0.4307692307692308,0.44686991784435054,0.6829268292682927,1.0,0.8115942028985508
Sale Type,Cross-Sell (Core),231,0.33766233766233766,0.3174616050346073,0.6868686868686869,0.8717948717948718,0.768361581920904
Sale Type,Non-Revenue,693,0.2453102453102453,0.24928633014130808,0.9941520467836257,1.0,0.9970674486803519
Sale Type,Cross-Sell (Other),35,0.2,0.23977257062991464,0.46153846153846156,0.8571428571428571,0.6
Sale Type,Services,177,0.1864406779661017,0.20428334544158477,0.90625,0.8787878787878788,0.8923076923076924
Sale Type,Cross-Sell (From Volume),218,0.17889908256880735,0.24808712443194442,0.5147058823529411,0.8974358974358975,0.6542056074766355
Sale Type,Account Acquisition new,87,0.0,0.03201171802892082,0.0,0.0,0.0
Sale Type,Expansion,31,0.0,0.02822009217675014,0.0,0.0,0.0
Sale Type,New Contract,18,0.0,0.017594280342260998,0.0,0.0,0.0
Sale Type,Upsell/Expansion,40,0.0,0.01665667124713461,0.0,0.0,0.0
