segment_field,segment_value,n,win_rate,avg_p_win,precision,recall,f1
Region x SaleType,EMEA | Renewal,9436,0.9980924120389996,0.9982607576531414,0.9997876857749469,1.0,0.9998938316169445
Region x SaleType,APAC | Renewal,2656,0.9947289156626506,0.9947310084327224,1.0,1.0,1.0
Region x SaleType,NAM | Renewal,8584,0.9912628145386766,0.9914867419590155,0.9997650099870755,1.0,0.999882491186839
Region x SaleType,EMEA | Upsell,4537,0.8265373594886489,0.8068432107832041,0.9514663898261095,0.9776,0.9643561751940024
Region x SaleType,NAM | Upsell,3211,0.7988165680473372,0.7856313844865829,0.9160890186063481,0.9789473684210527,0.94647568790049
Region x SaleType,APAC | Upsell,1046,0.7447418738049714,0.7437186108639736,0.9181929181929182,0.9653401797175867,0.9411764705882353
Region x SaleType,NAM | Unknown,35,0.5142857142857142,0.5192910607105921,0.6428571428571429,1.0,0.782608695652174
Region x SaleType,EMEA | New,2962,0.49459824442943956,0.5091483976478991,0.864,0.9583617747440273,0.9087378640776699
Region x SaleType,APAC | New,745,0.48053691275167787,0.4932014409231827,0.9109947643979057,0.9720670391061452,0.9405405405405406
Region x SaleType,NAM | Cross-Sell,1312,0.47865853658536583,0.4774174802745901,0.8,0.910828025477707,0.8518242740134029
Region x SaleType,NAM | New,1816,0.46806167400881055,0.48712694455569316,0.7971887550200804,0.9341176470588235,0.8602383531960996
Region x SaleType,APAC | Cross-Sell,451,0.4567627494456763,0.4684852046185811,0.76171875,0.9466019417475728,0.8441558441558441
Region x SaleType,EMEA | Cross-Sell,2031,0.4544559330379124,0.47185131171499667,0.7729681978798587,0.9479956663055255,0.851581508515815
Region x SaleType,NAM | Non-Revenue,368,0.38315217391304346,0.38672308174748166,0.9929577464788732,1.0,0.9964664310954063
Region x SaleType,EMEA | Cross-Sell (Core),89,0.3707865168539326,0.3069904347121269,0.7567567567567568,0.8484848484848485,0.8
Region x SaleType,NAM | Cross-Sell (Core),136,0.33088235294117646,0.33297228492915115,0.6842105263157895,0.8666666666666667,0.7647058823529411
Region x SaleType,EMEA | Unknown,29,0.3103448275862069,0.35304328167661175,0.75,1.0,0.8571428571428571
Region x SaleType,EMEA | Cross-Sell (Other),11,0.2727272727272727,0.3010831046285051,0.5,1.0,0.6666666666666666
Region x SaleType,APAC | Cross-Sell (From Volume),15,0.26666666666666666,0.2779600075549549,0.8,1.0,0.8888888888888888
Region x SaleType,APAC | Services,44,0.22727272727272727,0.27484051780916297,1.0,1.0,1.0
Region x SaleType,EMEA | Services,87,0.19540229885057472,0.21593526956336248,0.7777777777777778,0.8235294117647058,0.8
Region x SaleType,NAM | Cross-Sell (Other),22,0.18181818181818182,0.19525475726660452,0.2857142857142857,0.5,0.36363636363636365
Region x SaleType,NAM | Cross-Sell (From Volume),133,0.17293233082706766,0.2558038804194608,0.47619047619047616,0.8695652173913043,0.6153846153846154
Region x SaleType,EMEA | Cross-Sell (From Volume),70,0.17142857142857143,0.24911989062314938,0.5714285714285714,1.0,0.7272727272727273
Region x SaleType,NAM | Services,46,0.13043478260869565,0.16848070437655502,0.8333333333333334,0.8333333333333334,0.8333333333333334
Region x SaleType,APAC | Non-Revenue,141,0.1276595744680851,0.12966107937284957,1.0,1.0,1.0
Region x SaleType,EMEA | Non-Revenue,176,0.0625,0.06593914210415361,0.9166666666666666,1.0,0.9565217391304348
Region x SaleType,APAC | Account Acquisition new,18,0.0,0.03657585315199362,0.0,0.0,0.0
Region x SaleType,EMEA | Account Acquisition new,22,0.0,0.04088184883761587,0.0,0.0,0.0
Region x SaleType,NAM | Account Acquisition new,46,0.0,0.045641562024104416,0.0,0.0,0.0
Region x SaleType,NAM | Expansion,22,0.0,0.06881384479559281,0.0,0.0,0.0
Region x SaleType,NAM | New Contract,16,0.0,0.01785776544905578,0.0,0.0,0.0
Region x SaleType,NAM | Upsell/Expansion,28,0.0,0.059065079083666205,0.0,0.0,0.0
