segment_field,segment_value,n,win_rate,avg_p_win,precision,recall,f1
Opportunity Record Type,Renewal Order Finalized,19651,0.9955727443895985,0.9955424411962966,1.0,1.0,1.0
Opportunity Record Type,Renewal Order,384,0.9869791666666666,0.9863114757980735,1.0,1.0,1.0
Opportunity Record Type,Renewal,829,0.971049457177322,0.9753468011966133,0.9950556242274413,1.0,0.9975216852540273
Opportunity Record Type,Sales Order Finalized,10227,0.9584433362667449,0.9605523562113142,0.9851256281407035,1.0,0.992507087889834
Opportunity Record Type,Sales Order,331,0.9395770392749244,0.9489035496660786,0.9424242424242424,1.0,0.9703588143525741
Opportunity Record Type,Sales,8979,0.17797082080409846,0.1779042274923526,0.5026758409785933,0.8229036295369212,0.624110109159943
Sale Type,Renewal,20676,0.9948249177790676,0.9949661103691808,0.999805570407816,1.0,0.9999027757522726
Sale Type,Upsell,8794,0.8066863770752786,0.7948970226233483,0.9364781559903511,0.9850577953199887,0.9601538884308876
Sale Type,TBD,10,0.7,0.7271030638056496,0.875,1.0,0.9333333333333333
Sale Type,New,5527,0.48398769676135334,0.4965049135747386,0.8456243854473943,0.9644859813084112,0.9011526370939574
Sale Type,Cross-Sell,3797,0.46273373716091654,0.47214832279288277,0.8009478672985783,0.9618668184405236,0.874062580811999
Sale Type,Unknown,65,0.4307692307692308,0.44678627443141655,0.6829268292682927,1.0,0.8115942028985508
Sale Type,Cross-Sell (Core),231,0.33766233766233766,0.3183728088765885,0.6635514018691588,0.9102564102564102,0.7675675675675676
Sale Type,Non-Revenue,693,0.2453102453102453,0.24894711021522078,0.9883720930232558,1.0,0.9941520467836257
Sale Type,Cross-Sell (Other),35,0.2,0.23338191195258073,0.46153846153846156,0.8571428571428571,0.6
Sale Type,Services,177,0.1864406779661017,0.20160171616184064,0.8787878787878788,0.8787878787878788,0.8787878787878788
Sale Type,Cross-Sell (From Volume),218,0.17889908256880735,0.2500035654873066,0.48,0.9230769230769231,0.631578947368421
Sale Type,Account Acquisition new,87,0.0,0.02979753284190578,0.0,0.0,0.0
Sale Type,Expansion,31,0.0,0.022970448157960368,0.0,0.0,0.0
Sale Type,New Contract,18,0.0,0.01474811486830866,0.0,0.0,0.0
Sale Type,Upsell/Expansion,40,0.0,0.015351472810531655,0.0,0.0,0.0
