segment_field,segment_value,n,win_rate,avg_p_win,precision,recall,f1
Region x SaleType,EMEA | Renewal,9436,0.9980924120389996,0.9982587490986173,0.9997876857749469,1.0,0.9998938316169445
Region x SaleType,APAC | Renewal,2656,0.9947289156626506,0.9947027482810509,1.0,1.0,1.0
Region x SaleType,NAM | Renewal,8584,0.9912628145386766,0.991428150287064,0.9997650099870755,1.0,0.999882491186839
Region x SaleType,EMEA | Upsell,4537,0.8265373594886489,0.811170201302894,0.9481119958900591,0.9842666666666666,0.9658511055868114
Region x SaleType,NAM | Upsell,3211,0.7988165680473372,0.7882625349612359,0.9248449470995986,0.9883040935672515,0.9555220505088579
Region x SaleType,APAC | Upsell,1046,0.7447418738049714,0.7446789807628739,0.9202898550724637,0.9781771501925546,0.9483509645301804
Region x SaleType,NAM | Unknown,35,0.5142857142857142,0.5235791565229496,0.6428571428571429,1.0,0.782608695652174
Region x SaleType,EMEA | New,2962,0.49459824442943956,0.5057334455589629,0.8626139817629179,0.9686006825938567,0.912540192926045
Region x SaleType,APAC | New,745,0.48053691275167787,0.48971886752085797,0.8925831202046036,0.9748603351955307,0.931909212283044
Region x SaleType,NAM | Cross-Sell,1312,0.47865853658536583,0.4782910771048969,0.8091397849462365,0.9585987261146497,0.8775510204081632
Region x SaleType,NAM | New,1816,0.46806167400881055,0.4851201574036731,0.7998027613412229,0.9541176470588235,0.8701716738197425
Region x SaleType,APAC | Cross-Sell,451,0.4567627494456763,0.4644681085733985,0.796812749003984,0.970873786407767,0.87527352297593
Region x SaleType,EMEA | Cross-Sell,2031,0.4544559330379124,0.47044573326974637,0.7971274685816876,0.962080173347779,0.8718703976435935
Region x SaleType,NAM | Non-Revenue,368,0.38315217391304346,0.38738700102397194,0.9929577464788732,1.0,0.9964664310954063
Region x SaleType,EMEA | Cross-Sell (Core),89,0.3707865168539326,0.3157959923650442,0.7142857142857143,0.9090909090909091,0.8
Region x SaleType,NAM | Cross-Sell (Core),136,0.33088235294117646,0.32744448638621576,0.6507936507936508,0.9111111111111111,0.7592592592592593
Region x SaleType,EMEA | Unknown,29,0.3103448275862069,0.35979675511219383,0.75,1.0,0.8571428571428571
Region x SaleType,EMEA | Cross-Sell (Other),11,0.2727272727272727,0.2935847773244887,0.6,1.0,0.75
Region x SaleType,APAC | Cross-Sell (From Volume),15,0.26666666666666666,0.2766934541364511,0.5714285714285714,1.0,0.7272727272727273
Region x SaleType,APAC | Services,44,0.22727272727272727,0.25092834571489325,1.0,1.0,1.0
Region x SaleType,EMEA | Services,87,0.19540229885057472,0.2010302803339972,0.875,0.8235294117647058,0.8484848484848485
Region x SaleType,NAM | Cross-Sell (Other),22,0.18181818181818182,0.18354634712026877,0.42857142857142855,0.75,0.5454545454545454
Region x SaleType,NAM | Cross-Sell (From Volume),133,0.17293233082706766,0.24979782519969423,0.4444444444444444,0.8695652173913043,0.5882352941176471
Region x SaleType,EMEA | Cross-Sell (From Volume),70,0.17142857142857143,0.24467521018038196,0.5217391304347826,1.0,0.6857142857142857
Region x SaleType,NAM | Services,46,0.13043478260869565,0.1555004817420158,0.7142857142857143,0.8333333333333334,0.7692307692307693
Region x SaleType,APAC | Non-Revenue,141,0.1276595744680851,0.12948295311346192,1.0,1.0,1.0
Region x SaleType,EMEA | Non-Revenue,176,0.0625,0.06539687607790146,0.9166666666666666,1.0,0.9565217391304348
Region x SaleType,APAC | Account Acquisition new,18,0.0,0.021582830317870335,0.0,0.0,0.0
Region x SaleType,EMEA | Account Acquisition new,22,0.0,0.028794246104856328,0.0,0.0,0.0
Region x SaleType,NAM | Account Acquisition new,46,0.0,0.03413958689602821,0.0,0.0,0.0
Region x SaleType,NAM | Expansion,22,0.0,0.02630585138544892,0.0,0.0,0.0
Region x SaleType,NAM | New Contract,16,0.0,0.016591629226847242,0.0,0.0,0.0
Region x SaleType,NAM | Upsell/Expansion,28,0.0,0.017402287783278594,0.0,0.0,0.0
